Points:0, Points:1, Points:2, scalars
0.13239E+04, 0.43143E+03, 0.10929E+04, 1
0.99820E+03, -0.10470E+03, 0.71769E+03, 1
0.96800E+03, 0.29630E+03, 0.66862E+03, 1
0.99200E+03, -0.52100E+02, 0.66856E+03, 1
0.98300E+03, -0.26900E+02, 0.66740E+03, 1
0.10202E+04, -0.52700E+02, 0.89887E+03, 1
0.97247E+03, 0.32138E+03, 0.74600E+03, 1
0.10321E+04, 0.33059E+03, 0.10710E+04, 1
0.93470E+03, -0.32000E+03, 0.75624E+03, 1
0.99200E+03, 0.52100E+02, 0.90571E+03, 1
0.10564E+04, -0.43600E+02, 0.10003E+04, 1
0.10503E+04, 0.52700E+02, 0.99278E+03, 1
0.13667E+04, -0.40000E+02, 0.11420E+04, 1
0.12116E+04, -0.42800E+02, 0.11082E+04, 1
0.97670E+03, -0.29940E+03, 0.89166E+03, 1
0.12156E+04, -0.40917E+03, 0.10937E+04, 1
0.13371E+04, 0.13400E+02, 0.11237E+04, 1
0.12551E+04, 0.41107E+03, 0.11300E+04, 1
0.10768E+04, -0.27900E+02, 0.10011E+04, 1
0.95280E+03, -0.31860E+03, 0.85139E+03, 1
0.12747E+04, -0.43316E+03, 0.11420E+04, 1
0.11869E+04, -0.52700E+02, 0.11197E+04, 1
0.96260E+03, 0.34050E+03, 0.83787E+03, 1
0.10411E+04, 0.32930E+03, 0.11036E+04, 1
0.13388E+04, 0.42186E+03, 0.11052E+04, 1
0.13745E+04, 0.54300E+02, 0.11149E+04, 1
0.11331E+04, 0.40254E+03, 0.11005E+04, 1
0.99910E+03, 0.60000E+01, 0.88037E+03, 1
0.99240E+03, -0.42300E+02, 0.79110E+03, 1
0.10583E+04, -0.10470E+03, 0.68550E+03, 1
0.11044E+04, 0.35691E+03, 0.11291E+04, 1
0.10150E+04, -0.52100E+02, 0.94934E+03, 1
0.12495E+04, 0.55042E+02, 0.11218E+04, 1
0.10227E+04, -0.32718E+03, 0.10530E+04, 1
0.11293E+04, -0.39072E+03, 0.11239E+04, 1
0.10492E+04, 0.19000E+02, 0.99957E+03, 1
0.99800E+03, 0.10500E+03, 0.74195E+03, 1
0.94090E+03, 0.33610E+03, 0.84578E+03, 1
