Points:0, Points:1, Points:2, scalars
0.15354E+04, 0.54913E+02, -0.96314E+03, 1
0.15904E+04, -0.38666E+02, -0.98574E+03, 1
0.14688E+04, 0.17568E+03, -0.96125E+03, 1
0.14745E+04, 0.45567E+03, -0.96066E+03, 1
0.14648E+04, 0.38444E+03, -0.96528E+03, 1
0.15057E+04, 0.48572E+03, -0.10302E+04, 1
0.15101E+04, 0.48475E+03, -0.98598E+03, 1
0.15087E+04, 0.49087E+03, -0.11474E+04, 1
0.14815E+04, 0.15542E+03, -0.96516E+03, 1
0.14830E+04, 0.46200E+03, -0.96164E+03, 1
0.14194E+04, 0.29853E+03, -0.96544E+03, 1
0.14425E+04, 0.43263E+03, -0.95960E+03, 1
0.14178E+04, 0.29837E+03, -0.96542E+03, 1
0.14723E+04, 0.45834E+03, -0.96518E+03, 1
0.15003E+04, 0.11816E+03, -0.96324E+03, 1
0.15885E+04, -0.39283E+02, -0.95962E+03, 1
0.15867E+04, -0.43138E+02, -0.10408E+04, 1
0.15144E+04, 0.92820E+02, -0.96185E+03, 1
0.15088E+04, 0.48417E+03, -0.10924E+04, 1
0.14517E+04, 0.20995E+03, -0.95971E+03, 1
0.15251E+04, 0.84315E+02, -0.96068E+03, 1
0.14354E+04, 0.42275E+03, -0.96070E+03, 1
0.14670E+04, 0.18847E+03, -0.96034E+03, 1
0.15005E+04, 0.49563E+03, -0.11539E+04, 1
0.14931E+04, 0.14096E+03, -0.96013E+03, 1
0.14168E+04, 0.29739E+03, -0.95960E+03, 1
0.15178E+04, 0.92554E+02, -0.96548E+03, 1
0.14376E+04, 0.41232E+03, -0.96018E+03, 1
0.14669E+04, 0.33524E+03, -0.96131E+03, 1
0.15867E+04, -0.37942E+02, -0.10018E+04, 1
0.14932E+04, 0.13496E+03, -0.96528E+03, 1
0.14939E+04, 0.47872E+03, -0.96298E+03, 1
0.15055E+04, 0.48744E+03, -0.96048E+03, 1
0.15166E+04, 0.98315E+02, -0.96487E+03, 1
0.15735E+04, -0.62097E+01, -0.95964E+03, 1
0.15910E+04, -0.40688E+02, -0.10244E+04, 1
0.15911E+04, -0.40707E+02, -0.10417E+04, 1
0.15072E+04, 0.48444E+03, -0.11120E+04, 1
0.14344E+04, 0.42861E+03, -0.96348E+03, 1
0.14772E+04, 0.34886E+03, -0.95972E+03, 1
0.14672E+04, 0.34106E+03, -0.96501E+03, 1
0.15907E+04, -0.41788E+02, -0.10287E+04, 1
0.14780E+04, 0.16647E+03, -0.95966E+03, 1
0.15502E+04, 0.31196E+02, -0.96506E+03, 1
0.14924E+04, 0.46984E+03, -0.96221E+03, 1
0.14401E+04, 0.41013E+03, -0.96514E+03, 1
0.15242E+04, 0.86210E+02, -0.96415E+03, 1
0.15171E+04, 0.88697E+02, -0.96092E+03, 1
0.14461E+04, 0.22803E+03, -0.96238E+03, 1
0.14765E+04, 0.36903E+03, -0.96546E+03, 1
0.15257E+04, 0.74233E+02, -0.96468E+03, 1
0.15065E+04, 0.48934E+03, -0.99739E+03, 1
0.15112E+04, 0.48591E+03, -0.99340E+03, 1
0.14514E+04, 0.21329E+03, -0.96542E+03, 1
0.15049E+04, 0.48046E+03, -0.96323E+03, 1
0.15389E+04, 0.48667E+02, -0.96168E+03, 1
0.15865E+04, -0.42996E+02, -0.10687E+04, 1
0.14981E+04, 0.12338E+03, -0.96064E+03, 1
