Points:0, Points:1, Points:2, scalars
0.15355E+04, 0.55008E+02, -0.96310E+03, 1
0.15897E+04, -0.39223E+02, -0.98574E+03, 1
0.14707E+04, 0.17678E+03, -0.96233E+03, 1
0.14732E+04, 0.45716E+03, -0.96225E+03, 1
0.14648E+04, 0.38443E+03, -0.96526E+03, 1
0.15060E+04, 0.48583E+03, -0.10302E+04, 1
0.15091E+04, 0.48614E+03, -0.98598E+03, 1
0.15080E+04, 0.48969E+03, -0.11477E+04, 1
0.14819E+04, 0.15564E+03, -0.96422E+03, 1
0.14828E+04, 0.46214E+03, -0.96169E+03, 1
0.14194E+04, 0.29861E+03, -0.96450E+03, 1
0.14426E+04, 0.43253E+03, -0.96024E+03, 1
0.14179E+04, 0.29829E+03, -0.96489E+03, 1
0.14727E+04, 0.45789E+03, -0.96385E+03, 1
0.15003E+04, 0.11817E+03, -0.96323E+03, 1
0.15885E+04, -0.39299E+02, -0.95976E+03, 1
0.15870E+04, -0.42542E+02, -0.10408E+04, 1
0.15154E+04, 0.93367E+02, -0.96211E+03, 1
0.15087E+04, 0.48499E+03, -0.10924E+04, 1
0.14522E+04, 0.21019E+03, -0.96128E+03, 1
0.15245E+04, 0.84006E+02, -0.96118E+03, 1
0.14349E+04, 0.42331E+03, -0.96126E+03, 1
0.14663E+04, 0.18812E+03, -0.96111E+03, 1
0.15008E+04, 0.49587E+03, -0.11521E+04, 1
0.14931E+04, 0.14095E+03, -0.96018E+03, 1
0.14170E+04, 0.29721E+03, -0.96095E+03, 1
0.15178E+04, 0.92558E+02, -0.96494E+03, 1
0.14387E+04, 0.41318E+03, -0.96195E+03, 1
0.14663E+04, 0.33591E+03, -0.96169E+03, 1
0.15873E+04, -0.39128E+02, -0.10018E+04, 1
0.14936E+04, 0.13515E+03, -0.96420E+03, 1
0.14950E+04, 0.47749E+03, -0.96271E+03, 1
0.15062E+04, 0.48656E+03, -0.96157E+03, 1
0.15160E+04, 0.97977E+02, -0.96392E+03, 1
0.15734E+04, -0.62802E+01, -0.96015E+03, 1
0.15901E+04, -0.40625E+02, -0.10244E+04, 1
0.15910E+04, -0.40700E+02, -0.10417E+04, 1
0.15078E+04, 0.48586E+03, -0.11120E+04, 1
0.14358E+04, 0.42693E+03, -0.96270E+03, 1
0.14773E+04, 0.34876E+03, -0.96004E+03, 1
0.14676E+04, 0.34057E+03, -0.96397E+03, 1
0.15890E+04, -0.40956E+02, -0.10287E+04, 1
0.14779E+04, 0.16643E+03, -0.95991E+03, 1
0.15506E+04, 0.31431E+02, -0.96422E+03, 1
0.14917E+04, 0.47062E+03, -0.96231E+03, 1
0.14405E+04, 0.41045E+03, -0.96412E+03, 1
0.15239E+04, 0.86061E+02, -0.96395E+03, 1
0.15177E+04, 0.89034E+02, -0.96136E+03, 1
0.14444E+04, 0.22712E+03, -0.96246E+03, 1
0.14765E+04, 0.36900E+03, -0.96474E+03, 1
0.15264E+04, 0.74618E+02, -0.96381E+03, 1
0.15071E+04, 0.48860E+03, -0.99739E+03, 1
0.15111E+04, 0.48593E+03, -0.99340E+03, 1
0.14513E+04, 0.21321E+03, -0.96442E+03, 1
0.15036E+04, 0.48200E+03, -0.96271E+03, 1
0.15393E+04, 0.48901E+02, -0.96182E+03, 1
0.15870E+04, -0.42208E+02, -0.10687E+04, 1
0.14989E+04, 0.12379E+03, -0.96133E+03, 1
0.14978E+04, 0.49717E+03, -0.11499E+04, 1
0.15103E+04, 0.48664E+03, -0.98653E+03, 1
0.14646E+04, 0.45065E+03, -0.96504E+03, 1
0.14324E+04, 0.31104E+03, -0.96144E+03, 1
0.14786E+04, 0.36853E+03, -0.96301E+03, 1
0.14145E+04, 0.27626E+03, -0.96420E+03, 1
0.15076E+04, 0.48745E+03, -0.11082E+04, 1
0.15085E+04, 0.48963E+03, -0.11094E+04, 1
0.15665E+04, -0.34239E+00, -0.96206E+03, 1
0.14853E+04, 0.46878E+03, -0.95995E+03, 1
0.14402E+04, 0.23743E+03, -0.96296E+03, 1
0.14830E+04, 0.46942E+03, -0.96206E+03, 1
0.15100E+04, 0.48507E+03, -0.10640E+04, 1
0.15059E+04, 0.48572E+03, -0.10321E+04, 1
0.15077E+04, 0.48506E+03, -0.10267E+04, 1
0.15077E+04, 0.48724E+03, -0.10341E+04, 1
0.14585E+04, 0.19842E+03, -0.96078E+03, 1
0.15090E+04, 0.48867E+03, -0.10145E+04, 1
0.14593E+04, 0.44610E+03, -0.96307E+03, 1
0.15095E+04, 0.48699E+03, -0.10473E+04, 1
0.15099E+04, 0.48668E+03, -0.11304E+04, 1
0.15095E+04, 0.48973E+03, -0.10733E+04, 1
0.14189E+04, 0.27030E+03, -0.96460E+03, 1
0.14447E+04, 0.21907E+03, -0.96381E+03, 1
0.15056E+04, 0.48747E+03, -0.97798E+03, 1
0.14942E+04, 0.13704E+03, -0.95975E+03, 1
0.14515E+04, 0.43703E+03, -0.96185E+03, 1
0.14635E+04, 0.19303E+03, -0.95978E+03, 1
0.15853E+04, -0.40739E+02, -0.97452E+03, 1
0.15308E+04, 0.67232E+02, -0.96274E+03, 1
0.15447E+04, 0.40917E+02, -0.96267E+03, 1
0.15080E+04, 0.48542E+03, -0.11156E+04, 1
0.15385E+04, 0.52218E+02, -0.96474E+03, 1
0.14804E+04, 0.36441E+03, -0.96320E+03, 1
