Points:0, Points:1, Points:2, scalars
-0.33665E+01, -0.19378E+01, -0.11554E+00, 1
0.11122E+00, 0.41101E+01, -0.31116E+00, 1
-0.21187E+01, 0.18158E+01, 0.33571E-01, 1
0.28279E+01, 0.24321E+01, 0.48852E-01, 1
0.17928E+01, 0.29624E+01, -0.53254E+00, 1
0.17238E+01, 0.35796E+01, 0.47053E+00, 1
-0.32219E+01, -0.29123E+01, -0.13816E+00, 1
-0.16759E+01, 0.22600E+01, 0.11801E+00, 1
-0.23435E+01, 0.11665E+01, -0.33218E+00, 1
0.33748E+01, 0.14906E+01, 0.15521E+00, 1
-0.27178E+00, 0.46275E+01, -0.38583E+00, 1
-0.91321E-01, 0.46670E+01, 0.43628E+00, 1
-0.29358E+00, 0.48096E+01, -0.46120E+00, 1
0.29315E+01, 0.25739E+01, -0.25947E+00, 1
-0.29805E+01, 0.86242E-01, -0.14138E+00, 1
-0.17039E+01, 0.42290E+01, 0.52865E+00, 1
0.41492E+01, 0.20593E+01, 0.20318E+00, 1
-0.29291E+01, -0.76845E+00, 0.75669E-01, 1
0.44651E+01, 0.18540E+01, -0.61848E-01, 1
-0.19016E+01, 0.28829E+01, 0.23466E+00, 1
-0.23531E+01, -0.12555E+01, 0.25514E+00, 1
-0.12299E+01, 0.49742E+01, 0.23802E+00, 1
-0.17354E+01, 0.20866E+01, 0.26794E+00, 1
-0.26013E+01, -0.61375E+00, -0.21998E+00, 1
-0.19536E+01, 0.55402E+00, 0.44711E+00, 1
-0.42374E+00, 0.48461E+01, 0.29810E+00, 1
-0.26192E+01, -0.88737E+00, -0.47079E+00, 1
0.54020E+01, 0.79929E+00, 0.10685E+00, 1
0.40338E+01, 0.12268E+01, 0.15540E+00, 1
0.11732E+01, 0.33430E+01, 0.14915E+00, 1
-0.24368E+01, 0.50042E+00, -0.32706E+00, 1
0.52805E+01, 0.10877E+01, -0.41259E-01, 1
0.63546E+01, 0.26106E+00, 0.17891E+00, 1
-0.23811E+01, -0.77428E+00, -0.27407E+00, 1
-0.31420E+01, -0.40788E+01, 0.45356E+00, 1
0.28431E+01, 0.25241E+01, -0.37880E+00, 1
0.40020E+01, 0.17290E+01, -0.55890E+00, 1
-0.18805E+01, 0.37823E+01, 0.11068E+00, 1
-0.75762E+00, 0.51490E+01, -0.37682E-01, 1
0.55899E+01, 0.79705E+00, 0.47320E+00, 1
0.46355E+01, 0.14508E+01, -0.28348E+00, 1
0.31665E+01, 0.23751E+01, -0.17894E+00, 1
-0.19582E+01, 0.14181E+01, 0.49899E+00, 1
-0.31989E+01, -0.27854E+01, -0.33078E+00, 1
0.44000E+01, 0.95176E+00, 0.36073E-01, 1
0.51559E+01, 0.10599E+01, -0.31178E+00, 1
-0.22498E+01, -0.12164E+01, -0.27905E+00, 1
-0.29690E+01, -0.90334E+00, 0.22018E+00, 1
-0.15219E+01, 0.33438E+01, 0.86485E-02, 1
0.19282E+00, 0.43166E+01, -0.43133E+00, 1
-0.29490E+01, -0.13973E+01, -0.25163E+00, 1
-0.26317E+01, -0.24038E+01, 0.24808E+00, 1
-0.31788E+01, -0.25102E+01, -0.52375E+00, 1
-0.17567E+01, 0.29424E+01, -0.36948E+00, 1
0.57763E+01, 0.24547E+00, -0.40607E-01, 1
-0.33422E+01, -0.21517E+01, 0.13128E+00, 1
0.59682E+01, 0.70482E+00, 0.20865E+00, 1
-0.26700E+01, 0.18487E+00, 0.22474E+00, 1
-0.23339E+01, 0.20393E+01, 0.20616E+00, 1
-0.22339E+00, 0.47541E+01, -0.37437E+00, 1
0.20625E+01, 0.30959E+01, -0.48959E+00, 1
0.11993E+01, 0.38671E+01, 0.20392E+00, 1
-0.97792E-01, 0.42198E+01, -0.98458E-01, 1
-0.16279E+01, 0.50385E+01, -0.32694E+00, 1
-0.16222E+01, 0.35199E+01, 0.15811E+00, 1
-0.11994E+01, 0.34965E+01, -0.25625E-01, 1
-0.36799E+01, -0.37189E+01, 0.85540E-01, 1
0.42335E+01, 0.17126E+01, 0.49226E+00, 1
-0.12217E+01, 0.36041E+01, -0.89576E-01, 1
0.43488E+01, 0.20997E+01, 0.84133E-01, 1
0.32481E+01, 0.26886E+01, -0.30830E+00, 1
0.18177E+01, 0.35382E+01, 0.48263E+00, 1
-0.29751E+01, -0.70872E+00, 0.14298E+00, 1
0.17325E+01, 0.32405E+01, 0.13662E+00, 1
-0.20047E+01, 0.25149E+01, 0.33066E+00, 1
0.74326E+00, 0.35989E+01, -0.11399E+00, 1
0.15193E+01, 0.34653E+01, -0.11072E+00, 1
-0.23829E+01, 0.30671E+00, -0.21185E+00, 1
0.58925E+01, 0.45509E+00, -0.28952E+00, 1
-0.15784E+01, 0.15800E+01, -0.21606E+00, 1
-0.14965E+01, 0.47978E+01, -0.40555E+00, 1
-0.22651E+01, 0.32909E+01, -0.25175E+00, 1
-0.30581E+01, -0.33890E+01, 0.54629E+00, 1
-0.21564E+01, 0.48157E+00, 0.53044E+00, 1
0.40077E+00, 0.37945E+01, 0.12500E+00, 1
-0.17222E+01, 0.22490E+01, 0.52375E+00, 1
-0.46872E+00, 0.48736E+01, 0.54861E+00, 1
-0.29458E+01, -0.16482E+01, -0.47186E-01, 1
-0.32324E+01, -0.24544E+01, -0.33479E-01, 1
0.54048E+01, 0.10941E+01, 0.75222E-01, 1
-0.31610E+01, -0.20929E+01, -0.43115E+00, 1
-0.34989E+00, 0.46805E+01, -0.13497E+00, 1
-0.20429E+01, 0.10683E+01, 0.22216E+00, 1
0.75091E+00, 0.38845E+01, 0.26140E+00, 1
-0.19692E+01, 0.34715E+01, 0.10597E+00, 1
0.51098E+01, 0.38168E+00, 0.37750E+00, 1
-0.36688E+01, -0.38860E+01, 0.19462E+00, 1
-0.17168E+01, 0.98263E+00, 0.13980E+00, 1
-0.82622E+00, 0.44470E+01, -0.21269E+00, 1
-0.28222E+01, -0.26967E+01, 0.25743E-01, 1
-0.18286E+01, 0.37483E+01, -0.48759E-01, 1
-0.29199E+01, -0.17290E+01, 0.47352E+00, 1
0.24332E+01, 0.31297E+01, 0.15401E+00, 1
0.41367E+01, 0.11761E+01, -0.21857E+00, 1
-0.96458E+00, 0.54076E+01, -0.20532E+00, 1
-0.10905E+01, 0.37224E+01, 0.12634E+00, 1
-0.95994E+00, 0.50444E+01, -0.33863E+00, 1
0.51262E+01, 0.46830E+00, -0.17473E+00, 1
-0.15089E+01, 0.48328E+01, 0.51571E+00, 1
0.30992E+01, 0.16691E+01, 0.48681E-01, 1
-0.21545E+01, -0.47562E+00, 0.34405E+00, 1
0.19809E+01, 0.36788E+01, -0.18902E+00, 1
0.20944E+01, 0.35378E+01, 0.95193E-02, 1
0.23579E+01, 0.32089E+01, 0.21524E+00, 1
0.13629E+01, 0.38129E+01, -0.49398E+00, 1
-0.20847E+01, 0.23244E+01, -0.52673E+00, 1
-0.67998E+00, 0.49651E+01, 0.12104E+00, 1
-0.15085E+01, 0.41623E+01, 0.41095E+00, 1
0.52694E+01, 0.63121E+00, 0.16366E+00, 1
-0.17686E+01, 0.83037E+00, 0.29537E+00, 1
-0.24873E+01, 0.76060E+00, -0.45247E+00, 1
-0.21958E+01, -0.89654E-01, -0.21227E+00, 1
0.63084E+01, 0.46082E-02, 0.51195E+00, 1
0.34974E+01, 0.20432E+01, -0.23902E+00, 1
0.93306E+00, 0.37019E+01, -0.56936E+00, 1
0.43997E+01, 0.13197E+01, 0.55845E+00, 1
0.30544E+01, 0.23146E+01, 0.24274E+00, 1
-0.32120E+01, -0.34129E+01, 0.23003E+00, 1
0.35109E+01, 0.17514E+01, 0.52097E-01, 1
0.57765E+01, 0.57017E+00, 0.39736E+00, 1
-0.24465E+01, 0.19697E+01, -0.21418E-01, 1
-0.30715E+01, -0.32746E+01, 0.17906E+00, 1
0.19058E+00, 0.38533E+01, -0.25527E+00, 1
-0.21615E+01, 0.24388E+01, 0.12015E+00, 1
-0.34681E+01, -0.41488E+01, 0.38071E+00, 1
0.25726E+01, 0.21946E+01, 0.10640E+00, 1
-0.33968E+01, -0.41723E+01, -0.17071E+00, 1
-0.24861E+00, 0.42911E+01, -0.43338E+00, 1
0.63091E+01, 0.17672E+00, 0.13921E-01, 1
-0.35682E+01, -0.38534E+01, -0.41976E+00, 1
-0.17192E+01, 0.50174E+01, 0.98616E-01, 1
-0.23516E+01, 0.21580E+01, 0.39746E+00, 1
-0.25523E+01, -0.98685E+00, 0.20273E+00, 1
-0.28952E+01, -0.18737E+01, 0.28513E+00, 1
0.34966E+01, 0.20627E+01, -0.56021E+00, 1
-0.28059E+01, -0.31379E+01, 0.42589E-01, 1
-0.32164E+01, -0.39858E+01, 0.19709E+00, 1
-0.34992E+01, -0.27959E+01, 0.32199E+00, 1
-0.19729E+01, 0.48431E+01, -0.19532E+00, 1
-0.23068E+01, 0.46609E+00, -0.22306E+00, 1
-0.14545E+01, 0.25729E+01, 0.33216E+00, 1
-0.23351E+01, 0.31501E+00, 0.53410E+00, 1
0.39615E+01, 0.17210E+01, -0.23155E+00, 1
0.43012E+01, 0.85846E+00, -0.73788E-01, 1
-0.13743E+01, 0.52687E+01, 0.37637E+00, 1
0.47542E+01, 0.71200E+00, -0.19715E+00, 1
-0.16739E+01, 0.42876E+01, 0.84458E-01, 1
0.20864E+01, 0.31995E+01, -0.39104E+00, 1
-0.23871E+01, 0.61352E+00, -0.46310E+00, 1
0.18703E+01, 0.33185E+01, 0.20416E+00, 1
-0.24777E+01, 0.45871E+00, 0.19977E-02, 1
-0.14856E+01, 0.31650E+01, -0.94983E-03, 1
-0.20626E+01, 0.41536E+01, -0.20655E+00, 1
-0.14907E+01, 0.34494E+01, 0.19866E+00, 1
-0.25239E+01, -0.38708E+00, -0.19257E+00, 1
-0.27341E+01, -0.10496E+01, 0.73340E-01, 1
-0.66652E+00, 0.50451E+01, 0.31093E+00, 1
0.35979E+00, 0.45869E+01, -0.31854E+00, 1
-0.24599E+01, 0.17439E+01, -0.29394E+00, 1
0.42517E+01, 0.18094E+01, 0.76923E-01, 1
-0.10839E+01, 0.55454E+01, -0.29463E-01, 1
-0.27554E+01, -0.16275E+01, -0.55149E+00, 1
-0.19423E+01, 0.28740E+01, -0.10210E+00, 1
0.49306E+01, 0.12046E+01, -0.32302E+00, 1
-0.31598E+01, -0.19910E+01, 0.21795E+00, 1
-0.28619E+01, -0.21878E+01, 0.23805E-02, 1
0.24468E+01, 0.24933E+01, -0.38694E+00, 1
-0.12953E+01, 0.41963E+01, 0.19667E+00, 1
-0.17877E+01, 0.46479E+01, 0.44697E+00, 1
0.12571E+01, 0.37593E+01, 0.38575E+00, 1
0.42283E+01, 0.14644E+01, -0.50131E+00, 1
-0.24885E+01, 0.38194E+00, -0.18103E+00, 1
0.53111E+01, 0.93705E+00, 0.20418E+00, 1
0.11854E+01, 0.36344E+01, 0.18526E+00, 1
-0.26489E+01, 0.11889E+01, -0.39304E-01, 1
0.36244E+01, 0.15649E+01, 0.30664E+00, 1
-0.17321E+01, 0.50961E+01, -0.15612E-01, 1
-0.30786E+01, -0.20716E+01, 0.37762E+00, 1
-0.28142E+01, -0.88833E+00, 0.35793E+00, 1
0.55045E+01, 0.26845E+00, -0.14302E+00, 1
-0.66908E+00, 0.50188E+01, -0.23193E+00, 1
0.54010E+01, 0.76573E+00, 0.51828E+00, 1
0.14118E+01, 0.34784E+01, 0.32755E-01, 1
-0.27225E+01, -0.62382E+00, -0.41428E+00, 1
-0.20043E+01, -0.18006E+00, -0.82357E-02, 1
0.34161E+01, 0.21578E+01, -0.43269E+00, 1
0.36974E+01, 0.17041E+01, 0.71737E-01, 1
-0.21917E+01, -0.15127E+01, 0.54804E-01, 1
0.17543E+00, 0.41307E+01, 0.14616E-01, 1
-0.29188E+01, -0.64027E+00, 0.27341E+00, 1
0.23477E+01, 0.33744E+01, 0.13488E+00, 1
0.28219E+01, 0.24536E+01, -0.20516E+00, 1
-0.26154E+01, -0.30528E+01, -0.41290E-01, 1
0.10368E+01, 0.43297E+01, 0.25367E+00, 1
0.31538E+00, 0.40768E+01, 0.27649E+00, 1
0.19744E+01, 0.28879E+01, -0.46993E+00, 1
-0.13865E+01, 0.47953E+01, -0.27222E+00, 1
-0.19663E+01, 0.19966E+01, -0.30772E+00, 1
0.61516E+01, 0.40995E+00, -0.51576E+00, 1
-0.25573E+01, 0.42292E+00, -0.30669E+00, 1
-0.20405E+01, -0.85042E+00, 0.95565E-01, 1
-0.21546E+01, 0.30077E+00, 0.41367E+00, 1
-0.16121E+01, 0.34286E+01, -0.24190E+00, 1
0.34430E+01, 0.16308E+01, -0.36297E+00, 1
-0.17207E+01, 0.21508E+01, 0.41647E-01, 1
-0.31338E+01, -0.20578E+01, -0.26753E+00, 1
0.67256E+00, 0.42725E+01, -0.49458E+00, 1
0.53153E-02, 0.44803E+01, 0.54261E+00, 1
-0.21878E+01, -0.11649E+01, 0.16700E+00, 1
-0.45056E+00, 0.54031E+01, 0.49245E-01, 1
-0.20495E+01, 0.23403E+01, 0.17222E+00, 1
0.49436E+00, 0.42259E+01, 0.50565E+00, 1
-0.25500E+01, -0.27088E+01, 0.18564E+00, 1
-0.12026E+01, 0.46649E+01, -0.96575E-01, 1
0.86837E+00, 0.40368E+01, -0.52549E+00, 1
0.41629E+01, 0.16302E+01, 0.46958E+00, 1
-0.32045E+01, -0.41919E+01, 0.16967E-01, 1
0.54053E+01, 0.87994E+00, -0.10014E+00, 1
-0.63186E-01, 0.42527E+01, -0.91012E-01, 1
-0.20397E+01, 0.17020E+00, -0.34626E+00, 1
-0.28282E+01, -0.29368E+01, -0.10492E+00, 1
-0.26390E+01, -0.31279E+01, -0.15562E+00, 1
-0.12931E+01, 0.52341E+01, 0.17552E+00, 1
0.52646E+00, 0.42458E+01, 0.31545E+00, 1
-0.17409E+01, 0.24545E+01, 0.26189E+00, 1
0.13804E+01, 0.39254E+01, -0.47347E+00, 1
0.63485E+01, -0.15462E-01, -0.30899E+00, 1
-0.22027E+01, -0.18469E+00, 0.83111E-01, 1
0.27803E+01, 0.31521E+01, 0.10663E+00, 1
0.75105E+00, 0.41129E+01, -0.26568E+00, 1
0.15635E+01, 0.40741E+01, -0.13011E+00, 1
0.51996E+00, 0.42655E+01, 0.43589E+00, 1
-0.17511E+00, 0.51464E+01, -0.30991E+00, 1
-0.23881E+01, -0.13754E+01, 0.27966E+00, 1
0.22249E+01, 0.28034E+01, -0.50897E+00, 1
-0.89750E+00, 0.49276E+01, -0.41515E+00, 1
-0.18146E+01, 0.54029E+01, -0.26350E+00, 1
0.59930E+01, 0.26634E+00, -0.46880E+00, 1
-0.18551E+01, 0.37424E+01, 0.70245E-01, 1
0.36476E+01, 0.23826E+01, -0.30722E+00, 1
0.44189E+01, 0.13507E+01, -0.21563E+00, 1
-0.29540E+01, -0.19929E+01, -0.21209E+00, 1
-0.27663E+01, -0.13132E+01, -0.26106E+00, 1
-0.27083E+01, -0.78145E+00, -0.11191E+00, 1
-0.31843E+01, -0.37173E+01, -0.41732E+00, 1
-0.17472E+01, 0.44845E+01, -0.70533E-01, 1
0.45842E+01, 0.18251E+01, -0.28722E+00, 1
0.31445E+01, 0.19706E+01, -0.80475E-01, 1
-0.17087E+01, 0.30915E+01, -0.40948E+00, 1
0.54496E+01, 0.12182E+01, -0.81657E-01, 1
0.38164E+01, 0.21064E+01, 0.47423E+00, 1
0.50157E+01, 0.90629E+00, -0.47751E+00, 1
-0.26883E+00, 0.47035E+01, 0.42790E+00, 1
-0.11543E+01, 0.43598E+01, 0.30017E+00, 1
0.54521E+01, 0.94580E+00, -0.50042E-01, 1
-0.21063E+01, 0.25343E+01, -0.46283E+00, 1
-0.27703E+01, -0.15083E+01, -0.17014E+00, 1
-0.24081E+01, -0.23842E+01, 0.26124E+00, 1
0.37940E+01, 0.24850E+01, 0.72556E-01, 1
0.83394E-01, 0.44662E+01, 0.26986E+00, 1
0.56012E+01, 0.13309E+00, -0.17256E+00, 1
0.18610E+01, 0.33566E+01, -0.20458E+00, 1
-0.13017E+01, 0.53470E+01, -0.13758E+00, 1
0.37423E+01, 0.23232E+01, 0.37511E+00, 1
-0.74924E+00, 0.55544E+01, -0.17224E-01, 1
-0.16789E+01, 0.22678E+01, -0.11135E+00, 1
-0.26777E+01, -0.85742E+00, 0.10535E+00, 1
-0.18355E+01, 0.39104E+01, 0.96307E-01, 1
-0.11138E+01, 0.46195E+01, 0.44959E-01, 1
0.30422E+01, 0.28810E+01, 0.25242E+00, 1
0.30850E+01, 0.23923E+01, -0.16482E+00, 1
-0.15338E+01, 0.33521E+01, -0.97096E-01, 1
0.58417E+01, 0.17300E+00, 0.21787E+00, 1
-0.22964E+01, 0.50402E+00, -0.48332E+00, 1
-0.13336E+01, 0.27337E+01, 0.63112E-05, 1
0.24327E+01, 0.34185E+01, -0.16521E+00, 1
-0.24407E+01, 0.25217E+01, -0.21345E+00, 1
0.30661E+01, 0.18201E+01, -0.37116E+00, 1
-0.13262E+01, 0.51415E+01, -0.35097E+00, 1
0.83915E+00, 0.35778E+01, 0.94408E-01, 1
0.52730E+01, 0.13331E+01, -0.32020E+00, 1
0.43131E+01, 0.16853E+01, 0.45323E+00, 1
-0.21990E+01, 0.35640E+01, -0.10501E-01, 1
0.40296E-01, 0.46079E+01, 0.29210E+00, 1
-0.12056E+01, 0.47828E+01, 0.22206E+00, 1
-0.33442E+01, -0.27584E+01, 0.12027E+00, 1
-0.18422E+01, 0.13374E+01, 0.11025E-01, 1
-0.27921E+01, -0.22463E+01, -0.81376E-01, 1
0.61316E+01, -0.19112E+00, 0.21872E+00, 1
-0.21306E+01, 0.54442E+00, 0.34932E+00, 1
-0.27710E+01, -0.16761E+01, -0.57176E+00, 1
-0.24823E+01, 0.23695E+01, -0.58262E-01, 1
0.16553E+01, 0.38044E+01, -0.29924E-01, 1
0.34331E+01, 0.21227E+01, -0.53543E+00, 1
0.53443E+01, 0.12843E+00, -0.12745E+00, 1
0.25653E+01, 0.21099E+01, -0.27512E+00, 1
0.44321E+01, 0.13578E+01, -0.16661E+00, 1
-0.28881E+01, -0.11932E+01, -0.21495E+00, 1
-0.25212E+01, 0.74989E+00, -0.84491E-01, 1
0.55038E+00, 0.40917E+01, -0.37847E+00, 1
-0.26229E+01, -0.11572E+00, 0.46393E+00, 1
-0.25233E+01, 0.32897E+00, -0.39894E+00, 1
-0.14350E+01, 0.25502E+01, -0.21915E+00, 1
0.41395E+00, 0.39953E+01, -0.34294E+00, 1
-0.14025E+01, 0.50542E+01, -0.26511E+00, 1
-0.25087E+01, 0.57397E+00, 0.22553E+00, 1
0.38331E+01, 0.17276E+01, -0.46472E+00, 1
-0.26863E+01, -0.40291E+01, 0.64330E-02, 1
-0.67835E+00, 0.47153E+01, 0.46548E+00, 1
-0.30810E+01, -0.17177E+01, 0.31733E+00, 1
0.27435E+01, 0.20569E+01, -0.36857E+00, 1
-0.21872E+01, 0.31725E+01, -0.21023E+00, 1
0.31022E+01, 0.21714E+01, 0.33787E+00, 1
-0.25171E+01, -0.22990E+00, 0.99912E-01, 1
-0.17848E+01, 0.23244E+01, -0.37174E+00, 1
-0.31578E+01, -0.28727E+01, -0.85192E-01, 1
-0.26620E+01, -0.14443E+00, -0.18047E+00, 1
0.38309E+01, 0.13601E+01, -0.18623E+00, 1
-0.12770E+01, 0.40977E+01, 0.23521E+00, 1
-0.28171E+01, 0.16652E+00, -0.40111E-01, 1
-0.23863E+01, -0.19246E+01, 0.16306E+00, 1
-0.20938E+01, 0.48617E+00, -0.27460E-01, 1
-0.24080E+01, 0.18297E+01, 0.37471E+00, 1
-0.28511E+01, -0.15753E+01, 0.31236E+00, 1
-0.29129E+01, -0.18475E+01, -0.15096E+00, 1
0.15585E+01, 0.33891E+01, 0.19108E-01, 1
0.21788E+00, 0.38718E+01, 0.25281E+00, 1
0.64696E+01, 0.21662E+00, 0.30086E+00, 1
-0.28581E+01, -0.28111E+01, 0.53976E+00, 1
-0.26775E+01, -0.68787E+00, -0.27428E+00, 1
-0.21756E+01, -0.26833E+00, 0.57139E-01, 1
-0.28731E+01, -0.24271E+01, 0.22834E+00, 1
0.25155E+01, 0.30268E+01, -0.35395E+00, 1
