Points:0, Points:1, Points:2, scalars
0.15524E+04, 0.30237E+02, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10240E+04, 1
0.14115E+04, 0.28436E+03, -0.96250E+03, 1
0.15070E+04, 0.48595E+03, -0.96250E+03, 1
0.14866E+04, 0.35671E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.99195E+03, 1
0.15084E+04, 0.48710E+03, -0.11146E+04, 1
0.15072E+04, 0.48847E+03, -0.11482E+04, 1
0.14756E+04, 0.16882E+03, -0.96250E+03, 1
0.14418E+04, 0.43120E+03, -0.96250E+03, 1
0.14520E+04, 0.32628E+03, -0.96250E+03, 1
0.14628E+04, 0.44886E+03, -0.96250E+03, 1
0.14354E+04, 0.31234E+03, -0.96250E+03, 1
0.14899E+04, 0.47160E+03, -0.96250E+03, 1
0.15746E+04, -0.97672E+01, -0.96250E+03, 1
0.15853E+04, -0.34193E+02, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10106E+04, 1
0.14675E+04, 0.18340E+03, -0.96250E+03, 1
0.15084E+04, 0.48710E+03, -0.10524E+04, 1
0.14386E+04, 0.23545E+03, -0.96250E+03, 1
0.14937E+04, 0.13611E+03, -0.96250E+03, 1
0.14736E+04, 0.45792E+03, -0.96250E+03, 1
0.14750E+04, 0.16983E+03, -0.96250E+03, 1
0.14976E+04, 0.49996E+03, -0.11510E+04, 1
0.15679E+04, 0.22768E+01, -0.96250E+03, 1
0.14659E+04, 0.33795E+03, -0.96250E+03, 1
0.15184E+04, 0.91513E+02, -0.96250E+03, 1
0.14344E+04, 0.41893E+03, -0.96250E+03, 1
0.14522E+04, 0.32648E+03, -0.96250E+03, 1
0.15881E+04, -0.40500E+02, -0.10464E+04, 1
0.14679E+04, 0.18264E+03, -0.96250E+03, 1
0.14940E+04, 0.47500E+03, -0.96250E+03, 1
0.14930E+04, 0.47419E+03, -0.96250E+03, 1
0.14658E+04, 0.18643E+03, -0.96250E+03, 1
